                            95%-CI
YE_Abbott  0.3761 [0.3243; 0.4280]
GI_Gibert  0.5272 [0.4600; 0.5943]
GI_Schmidt 0.4554 [0.3741; 0.5366]
GI_Abbott  0.3383 [0.2831; 0.3935]
GI_Gibert  0.5112 [0.4440; 0.5783]
GI_Schmidt 0.3754 [0.2941; 0.4566]
GI_Abbott  0.3583 [0.3031; 0.4135]
GI_Gibert  0.4472 [0.3800; 0.5143]
GI_Schmidt 0.5794 [0.4981; 0.6606]
GI_Abbott  0.3753 [0.3216; 0.4290]
GI_Gibert  0.5072 [0.4400; 0.5743]
GI_Schmidt 0.4964 [0.4151; 0.5776]
GI_Abbott  0.2723 [0.2171; 0.3275]
GI_Gibert  0.4352 [0.3680; 0.5023]
GI_Schmidt 0.3664 [0.2741; 0.4586]
GI_Abbott  0.3473 [0.2890; 0.4056]
GI_Gibert  0.4212 [0.3540; 0.4883]
GI_Abbott  0.3513 [0.2961; 0.4065]
GI_Gibert  0.4402 [0.3730; 0.5073]
GI_Schmidt 0.4854 [0.4041; 0.5666]
GI_Abbott  0.3543 [0.2991; 0.4095]
GI_Gibert  0.5152 [0.4480; 0.5823]
GI_Abbott  0.4123 [0.3571; 0.4675]
GI_Gibert  0.4982 [0.4310; 0.5653]
GI_Schmidt 0.5114 [0.4255; 0.5972]
GI_Abbott  0.3973 [0.3421; 0.4525]
GI_Gibert  0.4992 [0.4320; 0.5663]
GI_Schmidt 0.4434 [0.3621; 0.5246]
GI_Abbott  0.3473 [0.2921; 0.4025]
GI_Gibert  0.5072 [0.4400; 0.5743]
GI_Schmidt 0.4924 [0.4001; 0.5846]
MU_Abbott  0.4557 [0.4025; 0.5089]
MU_Gibert  0.5203 [0.4551; 0.5855]
MU_Schmidt 0.6180 [0.5429; 0.6932]
MU_Abbott  0.3407 [0.2875; 0.3939]
MU_Gibert  0.4803 [0.4151; 0.5455]
MU_Schmidt 0.4720 [0.3969; 0.5472]
MU_Abbott  0.3947 [0.3415; 0.4479]
MU_Gibert  0.4983 [0.4331; 0.5635]
MU_Schmidt 0.3430 [0.2679; 0.4182]
MU_Abbott  0.3607 [0.3075; 0.4139]
MU_Gibert  0.5013 [0.4361; 0.5665]
MU_Schmidt 0.4130 [0.3379; 0.4882]
MU_Abbott  0.4227 [0.3695; 0.4759]
MU_Gibert  0.5303 [0.4651; 0.5955]
MU_Schmidt 0.4380 [0.3629; 0.5132]
MU_Abbott  0.4457 [0.3925; 0.4989]
MU_Gibert  0.5553 [0.4901; 0.6205]
MU_Schmidt 0.6050 [0.5299; 0.6802]
MU_Gibert  0.5153 [0.4501; 0.5805]
MU_Schmidt 0.4500 [0.3749; 0.5252]
MU_Abbott  0.4167 [0.3635; 0.4699]
MU_Gibert  0.5023 [0.4371; 0.5675]
MU_Schmidt 0.4920 [0.4169; 0.5672]
MU_Abbott  0.3727 [0.3195; 0.4259]
MU_Gibert  0.5403 [0.4751; 0.6055]
MU_Schmidt 0.4920 [0.4169; 0.5672]
MU_Abbott  0.4457 [0.3956; 0.4958]
MU_Gibert  0.5733 [0.5063; 0.6403]
MU_Schmidt 0.5250 [0.4499; 0.6002]
MU_Abbott  0.3747 [0.3215; 0.4279]
MU_Gibert  0.5203 [0.4672; 0.5734]
MU_Schmidt 0.4820 [0.4069; 0.5572]
MU_Abbott  0.4677 [0.4145; 0.5209]
MU_Gibert  0.5543 [0.4891; 0.6195]
MU_Schmidt 0.5490 [0.4655; 0.6325]
MU_Abbott  0.3417 [0.2885; 0.3949]
MU_Gibert  0.4763 [0.4111; 0.5415]
MU_Schmidt 0.5470 [0.4719; 0.6222]
MU_Abbott  0.3827 [0.3310; 0.4343]
MU_Gibert  0.4483 [0.3831; 0.5135]
MU_Schmidt 0.4170 [0.3419; 0.4922]
MU_Gibert  0.5213 [0.4561; 0.5865]
MU_Schmidt 0.4720 [0.3969; 0.5472]
MU_Abbott  0.3417 [0.2885; 0.3949]
MU_Gibert  0.4673 [0.4021; 0.5325]
MU_Schmidt 0.4400 [0.3649; 0.5152]
MU_Abbott  0.3987 [0.3470; 0.4503]
MU_Gibert  0.5073 [0.4421; 0.5725]
MU_Schmidt 0.5560 [0.4809; 0.6312]
MU_Gibert  0.5533 [0.4881; 0.6185]
MU_Schmidt 0.4870 [0.4119; 0.5622]
MU_Abbott  0.3307 [0.2775; 0.3839]
MU_Gibert  0.5623 [0.4971; 0.6275]
MU_Schmidt 0.4380 [0.3629; 0.5132]
MU_Abbott  0.3807 [0.3275; 0.4339]
MU_Gibert  0.4573 [0.3921; 0.5225]
MU_Schmidt 0.5460 [0.4709; 0.6212]
MA_Abbott  0.4815 [0.4287; 0.5342]
MA_Schmidt 0.6485 [0.5727; 0.7244]
MA_Abbott  0.4175 [0.3663; 0.4686]
MA_Gibert  0.5378 [0.4722; 0.6033]
MA_Schmidt 0.4875 [0.4117; 0.5634]
MA_Gibert  0.4588 [0.3932; 0.5243]
MA_Abbott  0.5325 [0.4813; 0.5836]
MA_Gibert  0.4958 [0.4302; 0.5613]
MA_Schmidt 0.4335 [0.3577; 0.5094]
MA_Abbott  0.5575 [0.5047; 0.6102]
MA_Gibert  0.5798 [0.5142; 0.6453]
MA_Schmidt 0.4805 [0.4047; 0.5564]
MA_Abbott  0.5095 [0.4567; 0.5622]
MA_Gibert  0.4798 [0.4142; 0.5453]
MA_Schmidt 0.6035 [0.5277; 0.6794]
MA_Abbott  0.5595 [0.5083; 0.6106]
MA_Gibert  0.4908 [0.4252; 0.5563]
MA_Schmidt 0.5745 [0.4987; 0.6504]
MA_Abbott  0.5175 [0.4663; 0.5686]
MA_Gibert  0.4728 [0.4072; 0.5383]
MA_Schmidt 0.5125 [0.4367; 0.5884]
MA_Abbott  0.4745 [0.4217; 0.5272]
MA_Gibert  0.5518 [0.4862; 0.6173]
MA_Schmidt 0.5755 [0.4997; 0.6514]
MA_Abbott  0.5065 [0.4553; 0.5576]
MA_Gibert  0.4548 [0.3892; 0.5203]
MA_Schmidt 0.6675 [0.5678; 0.7672]
MA_Abbott  0.4445 [0.3917; 0.4972]
MA_Gibert  0.5108 [0.4452; 0.5763]
MA_Schmidt 0.4135 [0.3377; 0.4894]
MA_Gibert  0.4058 [0.3402; 0.4713]
MA_Schmidt 0.7285 [0.6527; 0.8044]
MA_Abbott  0.4445 [0.3917; 0.4972]
MA_Gibert  0.4878 [0.4342; 0.5413]
MA_Schmidt 0.6055 [0.5281; 0.6830]
MA_Abbott  0.4555 [0.4027; 0.5082]
MA_Gibert  0.5578 [0.4833; 0.6322]
MA_Schmidt 0.4605 [0.3847; 0.5364]
MA_Abbott  0.4035 [0.3523; 0.4546]
MA_Gibert  0.4408 [0.3752; 0.5063]
MA_Schmidt 0.6655 [0.5897; 0.7414]
MA_Abbott  0.4965 [0.4437; 0.5492]
MA_Gibert  0.4678 [0.4022; 0.5333]
MA_Schmidt 0.5425 [0.4667; 0.6184]
MA_Abbott  0.5515 [0.4987; 0.6042]
MA_Gibert  0.5098 [0.4442; 0.5753]
MA_Schmidt 0.6115 [0.5357; 0.6874]
MA_Abbott  0.4665 [0.4137; 0.5192]
MA_Gibert  0.5718 [0.5062; 0.6373]
MA_Schmidt 0.5425 [0.4667; 0.6184]
MA_Abbott  0.3905 [0.3393; 0.4416]
MA_Gibert  0.4928 [0.4272; 0.5583]
MA_Schmidt 0.5015 [0.4257; 0.5774]
MA_Abbott  0.3845 [0.3317; 0.4372]
MA_Gibert  0.4738 [0.4082; 0.5393]
MA_Schmidt 0.4785 [0.4027; 0.5544]
UM_Abbott  0.4036 [0.3509; 0.4563]
UM_Gibert  0.4876 [0.4217; 0.5534]
UM_Schmidt 0.5538 [0.4749; 0.6327]
UM_Abbott  0.4446 [0.3919; 0.4973]
UM_Gibert  0.5816 [0.5157; 0.6474]
UM_Schmidt 0.5648 [0.4859; 0.6437]
UM_Abbott  0.3206 [0.2679; 0.3733]
UM_Gibert  0.4796 [0.4137; 0.5454]
UM_Schmidt 0.5558 [0.4769; 0.6347]
UM_Abbott  0.3716 [0.3205; 0.4227]
UM_Gibert  0.4346 [0.3687; 0.5004]
UM_Schmidt 0.4778 [0.3989; 0.5567]
UM_Abbott  0.3046 [0.2519; 0.3573]
UM_Gibert  0.4896 [0.4237; 0.5554]
UM_Schmidt 0.5568 [0.4666; 0.6470]
UM_Abbott  0.4226 [0.3699; 0.4753]
UM_Gibert  0.5616 [0.4957; 0.6274]
UM_Schmidt 0.5738 [0.4949; 0.6527]
UM_Abbott  0.3916 [0.3389; 0.4443]
UM_Gibert  0.5096 [0.4437; 0.5754]
UM_Schmidt 0.4678 [0.3889; 0.5467]
UM_Abbott  0.3876 [0.3349; 0.4403]
UM_Gibert  0.4206 [0.3547; 0.4864]
UM_Schmidt 0.4478 [0.3689; 0.5267]
UM_Abbott  0.1506 [0.0995; 0.2017]
UM_Gibert  0.4286 [0.3627; 0.4944]
UM_Schmidt 0.5248 [0.4459; 0.6037]
UM_Abbott  0.3826 [0.3299; 0.4353]
UM_Gibert  0.5656 [0.4997; 0.6314]
UM_Abbott  0.4206 [0.3679; 0.4733]
UM_Gibert  0.5216 [0.4557; 0.5874]
UM_Schmidt 0.6398 [0.5609; 0.7187]
UM_Abbott  0.3346 [0.2835; 0.3857]
UM_Gibert  0.4696 [0.4037; 0.5354]
UM_Schmidt 0.5248 [0.4459; 0.6037]
UM_Abbott  0.3626 [0.3115; 0.4137]
UM_Gibert  0.5516 [0.4857; 0.6174]
UM_Schmidt 0.5648 [0.4859; 0.6437]
UM_Abbott  0.4076 [0.3549; 0.4603]
UM_Gibert  0.4796 [0.4137; 0.5454]
UM_Schmidt 0.4908 [0.4119; 0.5697]
UM_Abbott  0.4156 [0.3629; 0.4683]
UM_Gibert  0.5106 [0.4447; 0.5764]
UM_Abbott  0.4626 [0.4099; 0.5153]
UM_Gibert  0.5196 [0.4656; 0.5735]
UM_Schmidt 0.6578 [0.5789; 0.7367]
UM_Abbott  0.4146 [0.3619; 0.4673]
UM_Gibert  0.5736 [0.5077; 0.6394]
UM_Abbott  0.4356 [0.3829; 0.4883]
UM_Gibert  0.4966 [0.4307; 0.5624]
UM_Schmidt 0.6758 [0.5969; 0.7547]
KA_Abbott  0.2341 [0.1818; 0.2864]
KA_Gibert  0.4589 [0.3937; 0.5241]
KA_Schmidt 0.4827 [0.4070; 0.5584]
KA_Abbott  0.4271 [0.3748; 0.4794]
KA_Gibert  0.4959 [0.4307; 0.5611]
KA_Schmidt 0.4897 [0.4140; 0.5654]
KA_Abbott  0.4131 [0.3608; 0.4654]
KA_Gibert  0.3899 [0.3368; 0.4430]
KA_Schmidt 0.4857 [0.4100; 0.5614]
KA_Abbott  0.4451 [0.3928; 0.4974]
KA_Gibert  0.4439 [0.3787; 0.5091]
KA_Schmidt 0.3727 [0.2970; 0.4484]
KA_Abbott  0.1771 [0.1248; 0.2294]
KA_Gibert  0.4409 [0.3757; 0.5061]
KA_Schmidt 0.5797 [0.5040; 0.6554]
KA_Abbott  0.2281 [0.1758; 0.2804]
KA_Gibert  0.5129 [0.4477; 0.5781]
KA_Abbott  0.2041 [0.1518; 0.2564]
KA_Gibert  0.4439 [0.3787; 0.5091]
KA_Schmidt 0.4587 [0.3830; 0.5344]
KA_Abbott  0.2771 [0.2248; 0.3294]
KA_Gibert  0.4479 [0.3827; 0.5131]
KA_Schmidt 0.4657 [0.3900; 0.5414]
KA_Abbott  0.4001 [0.3478; 0.4524]
KA_Gibert  0.4459 [0.3807; 0.5111]
KA_Schmidt 0.4187 [0.3430; 0.4944]
KA_Abbott  0.2851 [0.2328; 0.3374]
KA_Gibert  0.5089 [0.4437; 0.5741]
KA_Schmidt 0.5687 [0.4930; 0.6444]
KA_Abbott  0.1571 [0.1048; 0.2094]
KA_Gibert  0.4219 [0.3567; 0.4871]
KA_Schmidt 0.5657 [0.4900; 0.6414]
KA_Abbott  0.3171 [0.2648; 0.3694]
KA_Gibert  0.4339 [0.3687; 0.4991]
KA_Schmidt 0.5107 [0.4350; 0.5864]
KA_Abbott  0.4031 [0.3508; 0.4554]
KA_Gibert  0.4319 [0.3667; 0.4971]
KA_Schmidt 0.3957 [0.3200; 0.4714]
KA_Gibert  0.4519 [0.3867; 0.5171]
KA_Schmidt 0.4357 [0.3600; 0.5114]
KA_Abbott  0.1731 [0.1224; 0.2238]
KA_Gibert  0.4189 [0.3537; 0.4841]
KA_Schmidt 0.6437 [0.5680; 0.7194]
KA_Abbott  0.2331 [0.1808; 0.2854]
KA_Gibert  0.4299 [0.3647; 0.4951]
KA_Schmidt 0.4727 [0.3970; 0.5484]
KA_Abbott  0.2531 [0.2008; 0.3054]
KA_Gibert  0.5269 [0.4617; 0.5921]
KA_Schmidt 0.5787 [0.5030; 0.6544]
KA_Abbott  0.2511 [0.1988; 0.3034]
KA_Gibert  0.5369 [0.4717; 0.6021]
KA_Schmidt 0.6257 [0.5500; 0.7014]
KA_Abbott  0.5191 [0.4668; 0.5714]
KA_Gibert  0.4789 [0.4137; 0.5441]
KA_Schmidt 0.6807 [0.6050; 0.7564]
KA_Abbott  0.2861 [0.2338; 0.3384]
KA_Gibert  0.5569 [0.4917; 0.6221]
KA_Schmidt 0.5107 [0.4350; 0.5864]
VA_Abbott  0.3164 [0.2642; 0.3686]
VA_Gibert  0.5132 [0.4478; 0.5787]
VA_Abbott  0.2764 [0.2242; 0.3286]
VA_Gibert  0.5532 [0.4878; 0.6187]
VA_Schmidt 0.4366 [0.3595; 0.5138]
VA_Schmidt 0.3786 [0.3015; 0.4558]
VA_Abbott  0.2634 [0.2112; 0.3156]
VA_Gibert  0.4962 [0.4308; 0.5617]
VA_Schmidt 0.3566 [0.2795; 0.4338]
VA_Abbott  0.2884 [0.2362; 0.3406]
VA_Gibert  0.5322 [0.4668; 0.5977]
VA_Schmidt 0.5916 [0.5145; 0.6688]
VA_Abbott  0.2194 [0.1688; 0.2700]
VA_Gibert  0.5772 [0.5118; 0.6427]
VA_Schmidt 0.3726 [0.2955; 0.4498]
VA_Abbott  0.2534 [0.2012; 0.3056]
VA_Gibert  0.3762 [0.3108; 0.4417]
VA_Schmidt 0.3786 [0.3015; 0.4558]
VA_Abbott  0.2964 [0.2458; 0.3470]
VA_Gibert  0.4992 [0.4338; 0.5647]
VA_Schmidt 0.4476 [0.3705; 0.5248]
VA_Abbott  0.2594 [0.2088; 0.3100]
VA_Gibert  0.4752 [0.4098; 0.5407]
VA_Schmidt 0.2736 [0.1965; 0.3508]
VA_Abbott  0.2724 [0.2202; 0.3246]
VA_Gibert  0.5022 [0.4487; 0.5558]
VA_Schmidt 0.4506 [0.3687; 0.5326]
VA_Abbott  0.2174 [0.1652; 0.2696]
VA_Gibert  0.5722 [0.5068; 0.6377]
VA_Schmidt 0.4606 [0.3835; 0.5378]
VA_Abbott  0.2434 [0.1928; 0.2940]
VA_Gibert  0.5282 [0.4628; 0.5937]
VA_Schmidt 0.3036 [0.2265; 0.3808]
VA_Abbott  0.2544 [0.2038; 0.3050]
VA_Gibert  0.4672 [0.4018; 0.5327]
VA_Schmidt 0.4446 [0.3675; 0.5218]
VA_Abbott  0.2494 [0.1988; 0.3000]
VA_Gibert  0.4392 [0.3738; 0.5047]
VA_Schmidt 0.3686 [0.2915; 0.4458]
VA_Abbott  0.3294 [0.2788; 0.3800]
VA_Gibert  0.5002 [0.4348; 0.5657]
VA_Schmidt 0.3686 [0.2915; 0.4458]
VA_Abbott  0.2354 [0.1832; 0.2876]
VA_Gibert  0.5742 [0.5088; 0.6397]
VA_Abbott  0.2554 [0.2048; 0.3060]
VA_Gibert  0.5192 [0.4538; 0.5847]
VA_Schmidt 0.4266 [0.3495; 0.5038]
VA_Abbott  0.2754 [0.2248; 0.3260]
VA_Gibert  0.4692 [0.4038; 0.5347]
VA_Schmidt 0.3446 [0.2675; 0.4218]
VA_Abbott  0.3044 [0.2522; 0.3566]
VA_Gibert  0.5402 [0.4748; 0.6057]
VA_Schmidt 0.4056 [0.3285; 0.4828]
VA_Abbott  0.2334 [0.1828; 0.2840]
VA_Gibert  0.4452 [0.3798; 0.5107]
AK_Abbott  0.3540 [0.3038; 0.4041]
AK_Gibert  0.4280 [0.3610; 0.4949]
AK_Schmidt 0.4584 [0.3833; 0.5335]
AK_Abbott  0.3580 [0.3094; 0.4065]
AK_Gibert  0.4770 [0.4118; 0.5421]
AK_Schmidt 0.4944 [0.4193; 0.5695]
AK_Abbott  0.4540 [0.4038; 0.5041]
AK_Gibert  0.5230 [0.4578; 0.5881]
AK_Schmidt 0.4274 [0.3523; 0.5025]
AK_Abbott  0.3860 [0.3342; 0.4377]
AK_Gibert  0.4930 [0.4398; 0.5461]
AK_Schmidt 0.4874 [0.4123; 0.5625]
AK_Abbott  0.3190 [0.2672; 0.3707]
AK_Gibert  0.5390 [0.4738; 0.6041]
AK_Schmidt 0.5854 [0.5103; 0.6605]
AK_Abbott  0.3620 [0.3102; 0.4137]
AK_Gibert  0.4520 [0.3868; 0.5171]
AK_Schmidt 0.3674 [0.2923; 0.4425]
AK_Abbott  0.3760 [0.3349; 0.4170]
AK_Gibert  0.4830 [0.4178; 0.5481]
AK_Schmidt 0.5024 [0.4273; 0.5775]
AK_Abbott  0.4210 [0.3692; 0.4727]
AK_Gibert  0.4930 [0.4278; 0.5581]
AK_Schmidt 0.5234 [0.4483; 0.5985]
AK_Abbott  0.3330 [0.2828; 0.3831]
AK_Gibert  0.4750 [0.4098; 0.5401]
AK_Schmidt 0.4724 [0.3973; 0.5475]
AK_Abbott  0.3500 [0.2982; 0.4017]
AK_Gibert  0.4870 [0.4218; 0.5521]
AK_Schmidt 0.3424 [0.2673; 0.4175]
AK_Abbott  0.3910 [0.3392; 0.4427]
AK_Gibert  0.5240 [0.4588; 0.5891]
AK_Schmidt 0.4514 [0.3763; 0.5265]
AK_Abbott  0.3710 [0.3208; 0.4211]
AK_Gibert  0.5130 [0.4478; 0.5781]
AK_Schmidt 0.4274 [0.3523; 0.5025]
AK_Abbott  0.3790 [0.3272; 0.4307]
AK_Gibert  0.4160 [0.3508; 0.4811]
AK_Schmidt 0.6394 [0.5643; 0.7145]
AK_Abbott  0.5200 [0.4682; 0.5717]
AK_Gibert  0.5000 [0.4348; 0.5651]
AK_Schmidt 0.4954 [0.4203; 0.5705]
AK_Abbott  0.3290 [0.2772; 0.3807]
AK_Gibert  0.5700 [0.5048; 0.6351]
AK_Schmidt 0.5324 [0.4573; 0.6075]
AK_Abbott  0.3900 [0.3382; 0.4417]
AK_Gibert  0.4720 [0.4068; 0.5371]
AK_Schmidt 0.4094 [0.3343; 0.4845]
AK_Abbott  0.3220 [0.2702; 0.3737]
AK_Gibert  0.5080 [0.4428; 0.5731]
AK_Schmidt 0.5754 [0.5003; 0.6505]
AK_Abbott  0.3840 [0.3322; 0.4357]
AK_Gibert  0.4570 [0.3918; 0.5221]
AK_Schmidt 0.4334 [0.3583; 0.5085]
AK_Abbott  0.3830 [0.3328; 0.4331]
AK_Gibert  0.5750 [0.5098; 0.6401]
AK_Schmidt 0.4764 [0.4013; 0.5515]
AK_Abbott  0.3960 [0.3458; 0.4461]
AK_Gibert  0.6140 [0.5488; 0.6791]
AK_Schmidt 0.5844 [0.5093; 0.6595]
           %W(random) Line
YE_Abbott         0.2 YE11
YE_Gibert         0.2 YE11
YE_Schmidt        0.2 YE11
YE_Abbott         0.2 YE13
YE_Gibert         0.2 YE13
YE_Schmidt        0.2 YE13
YE_Abbott         0.2 YE14
YE_Gibert         0.2 YE14
YE_Schmidt        0.2 YE14
YE_Abbott         0.2 YE15
YE_Gibert         0.2 YE15
YE_Schmidt        0.2 YE15
YE_Abbott         0.2 YE19
YE_Gibert         0.2 YE19
YE_Schmidt        0.2 YE19
YE_Abbott         0.2 YE20
YE_Gibert         0.2 YE20
YE_Schmidt        0.2 YE20
YE_Abbott         0.2 YE21
YE_Gibert         0.2 YE21
YE_Schmidt        0.2 YE21
YE_Abbott         0.2 YE22
YE_Gibert         0.2 YE22
YE_Schmidt        0.2 YE22
YE_Abbott         0.2 YE23
YE_Gibert         0.2 YE23
YE_Schmidt        0.2 YE23
YE_Abbott         0.2 YE24
YE_Gibert         0.2 YE24
YE_Schmidt        0.2 YE24
YE_Abbott         0.2 YE26
YE_Gibert         0.2 YE26
YE_Schmidt        0.2 YE26
YE_Abbott         0.2 YE27
YE_Gibert         0.2 YE27
YE_Schmidt        0.2 YE27
YE_Abbott         0.2 YE33
YE_Gibert         0.2 YE33
YE_Schmidt        0.2 YE33
YE_Abbott         0.2 YE40
YE_Gibert         0.2 YE40
YE_Schmidt        0.2 YE40
YE_Abbott         0.2 YE41
YE_Gibert         0.2 YE41
YE_Schmidt        0.2 YE41
YE_Abbott         0.2 YE48
YE_Gibert         0.2 YE48
YE_Schmidt        0.2 YE48
YE_Abbott         0.2 YE49
YE_Gibert         0.2 YE49
YE_Schmidt        0.2 YE49
YE_Abbott         0.2 YE51
YE_Gibert         0.2 YE51
YE_Schmidt        0.2 YE51
YE_Abbott         0.2 YE69
YE_Gibert         0.2 YE69
YE_Schmidt        0.2 YE69
YE_Abbott         0.2 YE80
YE_Gibert         0.2 YE80
YE_Schmidt        0.2 YE80
RE_Abbott         0.2  RE1
RE_Gibert         0.2  RE1
RE_Abbott         0.2 RE10
RE_Gibert         0.2 RE10
RE_Schmidt        0.2 RE10
RE_Abbott         0.2 RE11
RE_Gibert         0.2 RE11
RE_Schmidt        0.2 RE11
RE_Abbott         0.2 RE12
RE_Gibert         0.2 RE12
RE_Schmidt        0.2 RE12
RE_Abbott         0.2 RE13
