                            95%-CI
YE_Abbott  0.3837 [0.3351; 0.4323]
UM_Abbott  0.4293 [0.3800; 0.4786]
UM_Gibert  0.6450 [0.5752; 0.7149]
UM_Schmidt 1.0289 [0.8626; 1.1952]
UM_Abbott  0.4133 [0.3640; 0.4626]
UM_Gibert  0.5590 [0.4892; 0.6289]
UM_Schmidt 0.9529 [0.7866; 1.1192]
UM_Abbott  0.3933 [0.3456; 0.4410]
UM_Gibert  0.5180 [0.4482; 0.5879]
UM_Schmidt 0.8069 [0.6406; 0.9732]
UM_Abbott  0.4293 [0.3800; 0.4786]
UM_Gibert  0.6000 [0.5302; 0.6699]
UM_Schmidt 0.9649 [0.7755; 1.1543]
UM_Abbott  0.4453 [0.3960; 0.4946]
UM_Gibert  0.6310 [0.5612; 0.7009]
UM_Schmidt 0.9219 [0.7556; 1.0882]
UM_Abbott  0.4173 [0.3680; 0.4666]
UM_Gibert  0.5660 [0.4962; 0.6359]
UM_Schmidt 0.6649 [0.4986; 0.8312]
UM_Abbott  0.4563 [0.4070; 0.5056]
UM_Gibert  0.5600 [0.4902; 0.6299]
UM_Schmidt 0.7109 [0.5446; 0.8772]
UM_Abbott  0.3213 [0.2736; 0.3690]
UM_Gibert  0.5980 [0.5282; 0.6679]
UM_Schmidt 0.9839 [0.8176; 1.1502]
UM_Abbott  0.4303 [0.3810; 0.4796]
UM_Gibert  0.6580 [0.5882; 0.7279]
UM_Abbott  0.4583 [0.4090; 0.5076]
UM_Gibert  0.6380 [0.5682; 0.7079]
UM_Schmidt 1.1869 [1.0206; 1.3532]
UM_Abbott  0.3623 [0.3146; 0.4100]
UM_Gibert  0.5620 [0.4922; 0.6319]
UM_Schmidt 0.7279 [0.5616; 0.8942]
UM_Abbott  0.4393 [0.3916; 0.4870]
UM_Gibert  0.6140 [0.5442; 0.6839]
UM_Schmidt 1.0579 [0.8916; 1.2242]
UM_Abbott  0.4293 [0.3800; 0.4786]
UM_Gibert  0.5950 [0.5252; 0.6649]
UM_Schmidt 0.7299 [0.5636; 0.8962]
UM_Abbott  0.4373 [0.3880; 0.4866]
UM_Gibert  0.5420 [0.4722; 0.6119]
UM_Abbott  0.5283 [0.4773; 0.5793]
UM_Gibert  0.6920 [0.6353; 0.7488]
UM_Schmidt 1.3519 [1.1856; 1.5182]
UM_Abbott  0.3763 [0.3253; 0.4273]
UM_Gibert  0.6020 [0.5322; 0.6719]
UM_Abbott  0.4813 [0.4320; 0.5306]
UM_Gibert  0.7040 [0.6342; 0.7739]
UM_Schmidt 1.0899 [0.9236; 1.2562]
KA_Abbott  0.2684 [0.2195; 0.3174]
KA_Gibert  0.5140 [0.4450; 0.5830]
KA_Schmidt 0.4906 [0.3338; 0.6475]
KA_Abbott  0.4254 [0.3765; 0.4744]
KA_Gibert  0.6020 [0.5330; 0.6710]
KA_Schmidt 0.8716 [0.7148; 1.0285]
KA_Abbott  0.4164 [0.3658; 0.4670]
KA_Gibert  0.4930 [0.4373; 0.5487]
KA_Schmidt 0.6966 [0.5398; 0.8535]
KA_Abbott  0.3904 [0.3398; 0.4410]
KA_Gibert  0.4930 [0.4240; 0.5620]
KA_Schmidt 0.3236 [0.1668; 0.4805]
KA_Abbott  0.3084 [0.2595; 0.3574]
KA_Gibert  0.6120 [0.5430; 0.6810]
KA_Schmidt 0.9316 [0.7748; 1.0885]
KA_Abbott  0.3054 [0.2565; 0.3544]
KA_Gibert  0.6550 [0.5860; 0.7240]
KA_Abbott  0.2904 [0.2415; 0.3394]
KA_Gibert  0.5360 [0.4670; 0.6050]
KA_Schmidt 0.7266 [0.5698; 0.8835]
KA_Abbott  0.3154 [0.2665; 0.3644]
KA_Gibert  0.5150 [0.4460; 0.5840]
KA_Schmidt 0.7026 [0.5458; 0.8595]
KA_Abbott  0.4504 [0.4015; 0.4994]
KA_Gibert  0.5640 [0.4950; 0.6330]
KA_Schmidt 0.7346 [0.5778; 0.8915]
KA_Abbott  0.3324 [0.2835; 0.3814]
KA_Gibert  0.6360 [0.5670; 0.7050]
KA_Schmidt 1.0686 [0.9118; 1.2255]
KA_Abbott  0.3144 [0.2638; 0.3650]
KA_Gibert  0.5970 [0.5280; 0.6660]
KA_Schmidt 0.9806 [0.8238; 1.1375]
KA_Abbott  0.3324 [0.2835; 0.3814]
KA_Gibert  0.5280 [0.4590; 0.5970]
KA_Schmidt 0.5916 [0.4348; 0.7485]
KA_Abbott  0.4704 [0.4215; 0.5194]
KA_Gibert  0.5820 [0.5130; 0.6510]
KA_Schmidt 0.7446 [0.5878; 0.9015]
KA_Gibert  0.5170 [0.4480; 0.5860]
KA_Schmidt 0.9156 [0.7588; 1.0725]
KA_Abbott  0.2844 [0.2371; 0.3317]
KA_Gibert  0.5520 [0.4830; 0.6210]
KA_Schmidt 1.2406 [1.0838; 1.3975]
KA_Abbott  0.3034 [0.2545; 0.3524]
KA_Gibert  0.5340 [0.4650; 0.6030]
KA_Schmidt 0.7646 [0.6078; 0.9215]
KA_Abbott  0.3194 [0.2705; 0.3684]
KA_Gibert  0.6430 [0.5740; 0.7120]
KA_Schmidt 0.8906 [0.7338; 1.0475]
KA_Abbott  0.3164 [0.2675; 0.3654]
KA_Gibert  0.6390 [0.5700; 0.7080]
KA_Schmidt 0.9116 [0.7548; 1.0685]
KA_Abbott  0.4974 [0.4485; 0.5464]
KA_Gibert  0.5530 [0.4840; 0.6220]
KA_Schmidt 0.8266 [0.6698; 0.9835]
KA_Abbott  0.2954 [0.2465; 0.3444]
KA_Gibert  0.5760 [0.5070; 0.6450]
KA_Schmidt 0.5706 [0.4138; 0.7275]
VA_Abbott  0.3718 [0.3228; 0.4207]
VA_Gibert  0.5348 [0.4654; 0.6042]
VA_Abbott  0.2868 [0.2378; 0.3357]
VA_Gibert  0.5868 [0.5174; 0.6562]
VA_Schmidt 0.4080 [0.2469; 0.5691]
VA_Schmidt 0.7560 [0.5949; 0.9171]
VA_Abbott  0.2848 [0.2358; 0.3337]
VA_Gibert  0.5828 [0.5134; 0.6522]
VA_Schmidt 0.9500 [0.7889; 1.1111]
VA_Abbott  0.4238 [0.3748; 0.4727]
VA_Gibert  0.6928 [0.6234; 0.7622]
VA_Schmidt 1.3530 [1.1919; 1.5141]
VA_Abbott  0.2828 [0.2355; 0.3300]
VA_Gibert  0.6148 [0.5454; 0.6842]
VA_Schmidt 0.4810 [0.3199; 0.6421]
VA_Abbott  0.3208 [0.2718; 0.3697]
VA_Gibert  0.5868 [0.5174; 0.6562]
VA_Schmidt 0.7740 [0.6129; 0.9351]
VA_Abbott  0.2948 [0.2475; 0.3420]
VA_Gibert  0.6258 [0.5564; 0.6952]
VA_Schmidt 1.1790 [1.0179; 1.3401]
VA_Abbott  0.2798 [0.2325; 0.3270]
VA_Gibert  0.5038 [0.4344; 0.5732]
VA_Schmidt 0.4330 [0.2719; 0.5941]
VA_Abbott  0.3058 [0.2568; 0.3547]
VA_Gibert  0.6278 [0.5716; 0.6840]
VA_Schmidt 1.1300 [0.9588; 1.3012]
VA_Abbott  0.3688 [0.3182; 0.4193]
VA_Gibert  0.6158 [0.5464; 0.6852]
VA_Schmidt 0.5710 [0.4099; 0.7321]
VA_Abbott  0.3068 [0.2595; 0.3540]
VA_Gibert  0.6298 [0.5604; 0.6992]
VA_Schmidt 0.5050 [0.3439; 0.6661]
VA_Abbott  0.3378 [0.2905; 0.3850]
VA_Gibert  0.5908 [0.5214; 0.6602]
VA_Schmidt 0.7290 [0.5679; 0.8901]
VA_Abbott  0.2658 [0.2185; 0.3130]
VA_Gibert  0.5058 [0.4364; 0.5752]
VA_Schmidt 0.7860 [0.6249; 0.9471]
VA_Abbott  0.4078 [0.3605; 0.4550]
VA_Gibert  0.7158 [0.6464; 0.7852]
VA_Schmidt 0.9750 [0.8139; 1.1361]
VA_Abbott  0.2578 [0.2088; 0.3067]
VA_Gibert  0.6888 [0.6194; 0.7582]
VA_Abbott  0.2878 [0.2405; 0.3350]
VA_Gibert  0.5668 [0.4974; 0.6362]
VA_Schmidt 0.7810 [0.6199; 0.9421]
VA_Abbott  0.3528 [0.3055; 0.4000]
VA_Gibert  0.5758 [0.5064; 0.6452]
VA_Schmidt 0.6240 [0.4629; 0.7851]
VA_Abbott  0.3158 [0.2668; 0.3647]
VA_Gibert  0.4928 [0.4234; 0.5622]
VA_Schmidt 0.7190 [0.5579; 0.8801]
VA_Abbott  0.3048 [0.2575; 0.3520]
VA_Gibert  0.5988 [0.5294; 0.6682]
AK_Abbott  0.4418 [0.3949; 0.4887]
AK_Gibert  0.6398 [0.5690; 0.7105]
AK_Schmidt 0.7202 [0.5652; 0.8753]
AK_Abbott  0.4138 [0.3669; 0.4607]
AK_Gibert  0.6108 [0.5417; 0.6798]
AK_Schmidt 0.7352 [0.5802; 0.8903]
AK_Abbott  0.4198 [0.3729; 0.4667]
AK_Gibert  0.6098 [0.5407; 0.6788]
AK_Schmidt 0.5982 [0.4432; 0.7533]
AK_Abbott  0.4788 [0.4286; 0.5290]
AK_Gibert  0.6318 [0.5760; 0.6875]
AK_Schmidt 0.7272 [0.5722; 0.8823]
AK_Abbott  0.4728 [0.4243; 0.5213]
AK_Gibert  0.6498 [0.5807; 0.7188]
AK_Schmidt 0.8222 [0.6672; 0.9773]
AK_Abbott  0.4238 [0.3753; 0.4723]
AK_Gibert  0.5658 [0.4967; 0.6348]
AK_Schmidt 0.6842 [0.5292; 0.8393]
AK_Abbott  0.4208 [0.3818; 0.4599]
AK_Gibert  0.6188 [0.5497; 0.6878]
AK_Schmidt 0.6592 [0.5042; 0.8143]
AK_Abbott  0.4828 [0.4343; 0.5313]
AK_Gibert  0.5778 [0.5087; 0.6468]
AK_Schmidt 0.7352 [0.5802; 0.8903]
AK_Abbott  0.3808 [0.3339; 0.4277]
AK_Gibert  0.4908 [0.4217; 0.5598]
AK_Schmidt 0.5772 [0.4222; 0.7323]
AK_Abbott  0.3658 [0.3173; 0.4143]
AK_Gibert  0.5368 [0.4677; 0.6058]
AK_Schmidt 0.6432 [0.4882; 0.7983]
AK_Abbott  0.3738 [0.3253; 0.4223]
AK_Gibert  0.5318 [0.4627; 0.6008]
AK_Schmidt 0.7532 [0.5982; 0.9083]
AK_Abbott  0.4568 [0.4099; 0.5037]
AK_Gibert  0.6718 [0.6027; 0.7408]
AK_Schmidt 0.7162 [0.5612; 0.8713]
AK_Abbott  0.4898 [0.4413; 0.5383]
AK_Gibert  0.6748 [0.6057; 0.7438]
AK_Schmidt 1.1152 [0.9602; 1.2703]
AK_Abbott  0.4978 [0.4493; 0.5463]
AK_Gibert  0.6308 [0.5617; 0.6998]
AK_Schmidt 0.7532 [0.5982; 0.9083]
AK_Abbott  0.4358 [0.3873; 0.4843]
AK_Gibert  0.6658 [0.5967; 0.7348]
AK_Schmidt 0.8482 [0.6932; 1.0033]
AK_Abbott  0.4518 [0.4033; 0.5003]
AK_Gibert  0.5078 [0.4387; 0.5768]
AK_Schmidt 0.5572 [0.4022; 0.7123]
AK_Abbott  0.3888 [0.3403; 0.4373]
AK_Gibert  0.6018 [0.5327; 0.6708]
AK_Schmidt 0.9602 [0.8052; 1.1153]
AK_Abbott  0.3808 [0.3323; 0.4293]
AK_Gibert  0.5068 [0.4377; 0.5758]
AK_Schmidt 0.6962 [0.5412; 0.8513]
AK_Abbott  0.3528 [0.3059; 0.3997]
AK_Gibert  0.6008 [0.5317; 0.6698]
AK_Schmidt 0.6712 [0.5162; 0.8263]
AK_Abbott  0.4458 [0.3989; 0.4927]
AK_Gibert  0.6928 [0.6237; 0.7618]
AK_Schmidt 0.8112 [0.6562; 0.9663]
           %W(random) Line
YE_Abbott         0.2 YE11
YE_Gibert         0.2 YE11
YE_Schmidt        0.2 YE11
YE_Abbott         0.2 YE13
YE_Gibert         0.2 YE13
YE_Schmidt        0.2 YE13
YE_Abbott         0.2 YE14
YE_Gibert         0.2 YE14
YE_Schmidt        0.2 YE14
YE_Abbott         0.2 YE15
YE_Gibert         0.2 YE15
YE_Schmidt        0.2 YE15
YE_Abbott         0.2 YE19
YE_Gibert         0.2 YE19
YE_Schmidt        0.2 YE19
YE_Abbott         0.2 YE20
YE_Gibert         0.2 YE20
YE_Schmidt        0.2 YE20
YE_Abbott         0.2 YE21
YE_Gibert         0.2 YE21
YE_Schmidt        0.2 YE21
YE_Abbott         0.2 YE22
YE_Gibert         0.2 YE22
YE_Schmidt        0.2 YE22
YE_Abbott         0.2 YE23
YE_Gibert         0.2 YE23
YE_Schmidt        0.2 YE23
YE_Abbott         0.2 YE24
YE_Gibert         0.2 YE24
YE_Schmidt        0.2 YE24
YE_Abbott         0.2 YE26
YE_Gibert         0.2 YE26
YE_Schmidt        0.2 YE26
YE_Abbott         0.2 YE27
YE_Gibert         0.2 YE27
YE_Schmidt        0.2 YE27
YE_Abbott         0.2 YE33
YE_Gibert         0.2 YE33
YE_Schmidt        0.2 YE33
YE_Abbott         0.2 YE40
YE_Gibert         0.2 YE40
YE_Schmidt        0.2 YE40
YE_Abbott         0.2 YE41
YE_Gibert         0.2 YE41
YE_Schmidt        0.2 YE41
YE_Abbott         0.2 YE48
YE_Gibert         0.2 YE48
YE_Schmidt        0.2 YE48
YE_Abbott         0.2 YE49
YE_Gibert         0.2 YE49
YE_Schmidt        0.2 YE49
YE_Abbott         0.2 YE51
YE_Gibert         0.2 YE51
YE_Schmidt        0.2 YE51
YE_Abbott         0.2 YE69
YE_Gibert         0.2 YE69
YE_Schmidt        0.2 YE69
YE_Abbott         0.2 YE80
YE_Gibert         0.2 YE80
YE_Schmidt        0.2 YE80
RE_Abbott         0.2  RE1
RE_Gibert         0.2  RE1
RE_Abbott         0.2 RE10
RE_Gibert         0.2 RE10
RE_Schmidt        0.2 RE10
RE_Abbott         0.2 RE11
RE_Gibert         0.2 RE11
RE_Schmidt        0.2 RE11
RE_Abbott         0.2 RE12
RE_Gibert         0.2 RE12
RE_Schmidt        0.2 RE12
RE_Abbott         0.2 RE13
