                            95%-CI
YE_Colinet 0.4219 [0.3902; 0.4536]
YE_Colinet 0.4769 [0.4438; 0.5100]
YE_Hoedjes 0.4062 [0.3792; 0.4331]
YE_Onder   0.4262 [0.3962; 0.4561]
YE_Colinet 0.4739 [0.4408; 0.5070]
YE_Hoedjes 0.4442 [0.4172; 0.4711]
YE_Onder   0.4522 [0.4222; 0.4821]
YE_Colinet 0.4939 [0.4608; 0.5270]
YE_Hoedjes 0.4272 [0.4002; 0.4541]
YE_Onder   0.4732 [0.4432; 0.5031]
YE_Colinet 0.5319 [0.4988; 0.5650]
YE_Hoedjes 0.4972 [0.4702; 0.5241]
YE_Onder   0.4702 [0.4402; 0.5001]
RE_Onder   0.4908 [0.4602; 0.5214]
RE_Colinet 0.5102 [0.4767; 0.5437]
RE_Hoedjes 0.4385 [0.4100; 0.4670]
RE_Onder   0.4568 [0.4262; 0.4874]
RE_Colinet 0.4842 [0.4507; 0.5177]
RE_Hoedjes 0.4745 [0.4460; 0.5030]
RE_Onder   0.4368 [0.4062; 0.4674]
RE_Colinet 0.5392 [0.5057; 0.5727]
RE_Hoedjes 0.4805 [0.4520; 0.5090]
RE_Onder   0.4478 [0.4172; 0.4784]
RE_Colinet 0.5502 [0.5167; 0.5837]
RE_Hoedjes 0.4935 [0.4650; 0.5220]
RE_Onder   0.5178 [0.4872; 0.5484]
RE_Colinet 0.4512 [0.4177; 0.4847]
RE_Hoedjes 0.4415 [0.4130; 0.4700]
RE_Onder   0.4548 [0.4242; 0.4854]
RE_Colinet 0.5212 [0.4877; 0.5547]
RE_Hoedjes 0.4885 [0.4600; 0.5170]
RE_Onder   0.4828 [0.4522; 0.5134]
RE_Colinet 0.5062 [0.4727; 0.5397]
RE_Hoedjes 0.4625 [0.4340; 0.4910]
RE_Onder   0.4318 [0.4012; 0.4624]
RE_Colinet 0.5342 [0.5007; 0.5677]
RE_Hoedjes 0.4365 [0.4080; 0.4650]
RE_Onder   0.4678 [0.4372; 0.4984]
RE_Colinet 0.5832 [0.5497; 0.6167]
RE_Hoedjes 0.5485 [0.5200; 0.5770]
RE_Onder   0.5008 [0.4702; 0.5314]
RE_Colinet 0.4992 [0.4657; 0.5327]
RE_Hoedjes 0.4885 [0.4600; 0.5170]
RE_Onder   0.4868 [0.4562; 0.5174]
RE_Colinet 0.5212 [0.4877; 0.5547]
RE_Hoedjes 0.4315 [0.4030; 0.4600]
RE_Onder   0.4768 [0.4462; 0.5074]
RE_Colinet 0.4772 [0.4437; 0.5107]
RE_Hoedjes 0.4515 [0.4230; 0.4800]
RE_Onder   0.4448 [0.4142; 0.4754]
RE_Colinet 0.5332 [0.4997; 0.5667]
RE_Hoedjes 0.4445 [0.4160; 0.4730]
RE_Onder   0.4638 [0.4332; 0.4944]
RE_Colinet 0.5282 [0.4947; 0.5617]
RE_Hoedjes 0.4485 [0.4213; 0.4757]
RE_Onder   0.5008 [0.4702; 0.5314]
RE_Colinet 0.4902 [0.4567; 0.5237]
RE_Hoedjes 0.4525 [0.4240; 0.4810]
RE_Onder   0.4548 [0.4242; 0.4854]
GI_Colinet 0.5159 [0.4824; 0.5494]
GI_Hoedjes 0.4783 [0.4498; 0.5068]
GI_Onder   0.4488 [0.4179; 0.4797]
GI_Colinet 0.4609 [0.4274; 0.4944]
GI_Hoedjes 0.4593 [0.4308; 0.4878]
GI_Onder   0.4618 [0.4309; 0.4927]
GI_Colinet 0.4339 [0.4004; 0.4674]
GI_Hoedjes 0.4233 [0.3948; 0.4518]
GI_Onder   0.4068 [0.3759; 0.4377]
GI_Colinet 0.4739 [0.4404; 0.5074]
GI_Hoedjes 0.4073 [0.3801; 0.4345]
GI_Onder   0.4048 [0.3739; 0.4357]
GI_Colinet 0.5549 [0.5214; 0.5884]
GI_Hoedjes 0.4113 [0.3828; 0.4398]
GI_Onder   0.4078 [0.3769; 0.4387]
GI_Colinet 0.5269 [0.4934; 0.5604]
GI_Hoedjes 0.4693 [0.4408; 0.4978]
GI_Onder   0.4878 [0.4569; 0.5187]
GI_Colinet 0.4299 [0.3964; 0.4634]
GI_Hoedjes 0.4703 [0.4418; 0.4988]
GI_Onder   0.4288 [0.3979; 0.4597]
GI_Colinet 0.4519 [0.4184; 0.4854]
GI_Hoedjes 0.4333 [0.4048; 0.4618]
GI_Onder   0.4268 [0.3959; 0.4577]
GI_Colinet 0.4549 [0.4214; 0.4884]
GI_Hoedjes 0.4483 [0.4198; 0.4768]
GI_Onder   0.4198 [0.3889; 0.4507]
GI_Colinet 0.4649 [0.4314; 0.4984]
GI_Hoedjes 0.4293 [0.3994; 0.4592]
GI_Onder   0.4298 [0.3989; 0.4607]
GI_Colinet 0.4879 [0.4544; 0.5214]
GI_Hoedjes 0.4303 [0.4004; 0.4602]
GI_Onder   0.4928 [0.4619; 0.5237]
GI_Colinet 0.5229 [0.4894; 0.5564]
GI_Hoedjes 0.4573 [0.4288; 0.4858]
GI_Onder   0.4498 [0.4189; 0.4807]
GI_Colinet 0.4929 [0.4594; 0.5264]
GI_Hoedjes 0.4423 [0.4138; 0.4708]
GI_Onder   0.4198 [0.3889; 0.4507]
GI_Colinet 0.4379 [0.4044; 0.4714]
GI_Hoedjes 0.4513 [0.4228; 0.4798]
GI_Onder   0.4538 [0.4229; 0.4847]
GI_Colinet 0.4889 [0.4554; 0.5224]
GI_Hoedjes 0.5153 [0.4868; 0.5438]
GI_Onder   0.4448 [0.4139; 0.4757]
MU_Colinet 0.4475 [0.4158; 0.4792]
MU_Hoedjes 0.4187 [0.3918; 0.4457]
MU_Onder   0.4045 [0.3750; 0.4340]
MU_Colinet 0.4385 [0.4068; 0.4702]
MU_Hoedjes 0.4067 [0.3798; 0.4337]
MU_Onder   0.4095 [0.3800; 0.4390]
MU_Colinet 0.5135 [0.4818; 0.5452]
MU_Hoedjes 0.4317 [0.4048; 0.4587]
MU_Onder   0.4005 [0.3710; 0.4300]
MU_Colinet 0.5275 [0.4958; 0.5592]
MU_Hoedjes 0.5177 [0.4908; 0.5447]
MU_Onder   0.4435 [0.4140; 0.4730]
MU_Colinet 0.4605 [0.4274; 0.4936]
MU_Hoedjes 0.4137 [0.3868; 0.4407]
MU_Onder   0.4015 [0.3720; 0.4310]
MU_Colinet 0.4775 [0.4444; 0.5106]
MU_Hoedjes 0.4897 [0.4628; 0.5167]
MU_Onder   0.4585 [0.4290; 0.4880]
MU_Colinet 0.5155 [0.4824; 0.5486]
MU_Hoedjes 0.4767 [0.4498; 0.5037]
MU_Onder   0.4665 [0.4370; 0.4960]
MU_Colinet 0.4625 [0.4294; 0.4956]
MU_Hoedjes 0.4527 [0.4258; 0.4797]
MU_Onder   0.4025 [0.3730; 0.4320]
MU_Colinet 0.4995 [0.4664; 0.5326]
MU_Hoedjes 0.4917 [0.4648; 0.5187]
MU_Onder   0.4645 [0.4350; 0.4940]
MU_Colinet 0.5065 [0.4734; 0.5396]
MU_Hoedjes 0.4517 [0.4248; 0.4787]
MU_Onder   0.4685 [0.4390; 0.4980]
MU_Colinet 0.5285 [0.4954; 0.5616]
MU_Hoedjes 0.5017 [0.4748; 0.5287]
MU_Onder   0.4885 [0.4590; 0.5180]
MU_Colinet 0.4725 [0.4408; 0.5042]
MU_Hoedjes 0.4497 [0.4228; 0.4767]
MU_Onder   0.4445 [0.4150; 0.4740]
MU_Colinet 0.5065 [0.4734; 0.5396]
MU_Hoedjes 0.4497 [0.4228; 0.4767]
MU_Onder   0.4805 [0.4510; 0.5100]
MU_Colinet 0.5065 [0.4748; 0.5382]
MU_Hoedjes 0.4637 [0.4368; 0.4907]
MU_Onder   0.4525 [0.4301; 0.4749]
MU_Colinet 0.4725 [0.4408; 0.5042]
MU_Hoedjes 0.4737 [0.4468; 0.5007]
MU_Onder   0.4535 [0.4240; 0.4830]
MU_Colinet 0.5195 [0.4878; 0.5512]
MU_Hoedjes 0.5047 [0.4778; 0.5317]
MU_Onder   0.4895 [0.4600; 0.5190]
MU_Colinet 0.4665 [0.4348; 0.4982]
MU_Hoedjes 0.4497 [0.4228; 0.4767]
MU_Onder   0.4065 [0.3770; 0.4360]
MU_Colinet 0.4515 [0.4198; 0.4832]
MU_Hoedjes 0.4217 [0.3948; 0.4487]
MU_Onder   0.4055 [0.3760; 0.4350]
MU_Colinet 0.4805 [0.4488; 0.5122]
MU_Hoedjes 0.4647 [0.4378; 0.4917]
MU_Onder   0.4595 [0.4300; 0.4890]
MU_Colinet 0.4355 [0.4038; 0.4672]
MU_Hoedjes 0.4027 [0.3772; 0.4283]
MU_Onder   0.4095 [0.3800; 0.4390]
MA_Colinet 0.4950 [0.4629; 0.5272]
MA_Hoedjes 0.4381 [0.4112; 0.4650]
MA_Onder   0.4987 [0.4691; 0.5282]
MA_Colinet 0.5040 [0.4719; 0.5362]
MA_Hoedjes 0.4591 [0.4322; 0.4860]
MA_Onder   0.4657 [0.4361; 0.4952]
MA_Colinet 0.4410 [0.4089; 0.4732]
MA_Hoedjes 0.4011 [0.3742; 0.4280]
MA_Onder   0.4247 [0.3951; 0.4542]
MA_Colinet 0.5430 [0.5109; 0.5752]
MA_Hoedjes 0.5131 [0.4862; 0.5400]
MA_Onder   0.4967 [0.4671; 0.5262]
MA_Colinet 0.4800 [0.4479; 0.5122]
MA_Hoedjes 0.4051 [0.3782; 0.4320]
MA_Onder   0.4527 [0.4231; 0.4822]
MA_Colinet 0.5140 [0.4819; 0.5462]
MA_Hoedjes 0.4351 [0.4082; 0.4620]
MA_Onder   0.4347 [0.4051; 0.4642]
MA_Colinet 0.5530 [0.5209; 0.5852]
MA_Hoedjes 0.4971 [0.4702; 0.5240]
MA_Onder   0.5137 [0.4841; 0.5432]
MA_Colinet 0.5100 [0.4779; 0.5422]
MA_Hoedjes 0.4751 [0.4482; 0.5020]
MA_Onder   0.4137 [0.3841; 0.4432]
MA_Hoedjes 0.4421 [0.4152; 0.4690]
MA_Onder   0.4807 [0.4511; 0.5102]
MA_Colinet 0.4780 [0.4445; 0.5115]
MA_Hoedjes 0.4561 [0.4278; 0.4845]
MA_Onder   0.4847 [0.4551; 0.5142]
MA_Colinet 0.5490 [0.5155; 0.5825]
MA_Hoedjes 0.4801 [0.4532; 0.5070]
MA_Onder   0.5267 [0.4971; 0.5562]
MA_Colinet 0.4820 [0.4499; 0.5142]
MA_Hoedjes 0.4271 [0.4002; 0.4540]
MA_Onder   0.4267 [0.3971; 0.4562]
MA_Colinet 0.5300 [0.4965; 0.5635]
MA_Hoedjes 0.4421 [0.4152; 0.4690]
MA_Onder   0.4957 [0.4661; 0.5252]
MA_Colinet 0.5100 [0.4765; 0.5435]
MA_Hoedjes 0.4701 [0.4432; 0.4970]
MA_Onder   0.4507 [0.4211; 0.4802]
MA_Colinet 0.4970 [0.4635; 0.5305]
MA_Hoedjes 0.4711 [0.4442; 0.4980]
MA_Onder   0.5477 [0.5181; 0.5772]
MA_Colinet 0.4670 [0.4335; 0.5005]
MA_Hoedjes 0.4111 [0.3842; 0.4380]
MA_Onder   0.4587 [0.4291; 0.4882]
MA_Colinet 0.5060 [0.4739; 0.5382]
MA_Hoedjes 0.4031 [0.3762; 0.4300]
MA_Onder   0.4717 [0.4421; 0.5012]
MA_Colinet 0.5060 [0.4739; 0.5382]
MA_Hoedjes 0.4171 [0.3902; 0.4440]
MA_Onder   0.4317 [0.4021; 0.4612]
MA_Colinet 0.4730 [0.4409; 0.5052]
MA_Hoedjes 0.3991 [0.3722; 0.4260]
MA_Onder   0.4587 [0.4291; 0.4882]
MA_Hoedjes 0.4201 [0.3932; 0.4470]
MA_Onder   0.4597 [0.4301; 0.4892]
UM_Colinet 0.4944 [0.4615; 0.5273]
UM_Hoedjes 0.4360 [0.4082; 0.4637]
UM_Onder   0.4115 [0.3812; 0.4417]
UM_Colinet 0.4314 [0.3985; 0.4643]
UM_Hoedjes 0.4380 [0.4102; 0.4657]
UM_Onder   0.4315 [0.4012; 0.4617]
UM_Colinet 0.5204 [0.4875; 0.5533]
UM_Hoedjes 0.4410 [0.4132; 0.4687]
UM_Onder   0.4825 [0.4522; 0.5127]
UM_Colinet 0.4864 [0.4535; 0.5193]
UM_Hoedjes 0.4160 [0.3882; 0.4437]
UM_Onder   0.5355 [0.5052; 0.5657]
UM_Colinet 0.5464 [0.5135; 0.5793]
UM_Hoedjes 0.4900 [0.4622; 0.5177]
UM_Onder   0.5005 [0.4702; 0.5307]
UM_Colinet 0.4894 [0.4565; 0.5223]
UM_Hoedjes 0.3530 [0.3252; 0.3807]
UM_Onder   0.4315 [0.4012; 0.4617]
UM_Colinet 0.4754 [0.4425; 0.5083]
UM_Onder   0.4655 [0.4352; 0.4957]
UM_Colinet 0.4664 [0.4335; 0.4993]
UM_Hoedjes 0.4600 [0.4322; 0.4877]
UM_Onder   0.4745 [0.4442; 0.5047]
UM_Colinet 0.5804 [0.5475; 0.6133]
UM_Hoedjes 0.4760 [0.4482; 0.5037]
UM_Onder   0.5075 [0.4772; 0.5377]
UM_Colinet 0.5544 [0.5215; 0.5873]
UM_Hoedjes 0.4580 [0.4302; 0.4857]
UM_Onder   0.5025 [0.4722; 0.5327]
UM_Colinet 0.4884 [0.4555; 0.5213]
UM_Hoedjes 0.4350 [0.4072; 0.4627]
UM_Onder   0.4005 [0.3702; 0.4307]
UM_Colinet 0.4644 [0.4315; 0.4973]
UM_Hoedjes 0.4600 [0.4322; 0.4877]
UM_Onder   0.4375 [0.4072; 0.4677]
UM_Colinet 0.5104 [0.4775; 0.5433]
UM_Hoedjes 0.5180 [0.4902; 0.5457]
UM_Onder   0.4865 [0.4562; 0.5167]
UM_Colinet 0.4804 [0.4475; 0.5133]
UM_Hoedjes 0.4250 [0.3972; 0.4527]
UM_Onder   0.4315 [0.4012; 0.4617]
UM_Hoedjes 0.4740 [0.4462; 0.5017]
UM_Onder   0.4725 [0.4422; 0.5027]
UM_Colinet 0.5264 [0.4935; 0.5593]
UM_Hoedjes 0.4320 [0.4042; 0.4597]
UM_Onder   0.4205 [0.3902; 0.4507]
UM_Colinet 0.4804 [0.4475; 0.5133]
UM_Hoedjes 0.4310 [0.4032; 0.4587]
UM_Colinet 0.5284 [0.4955; 0.5613]
UM_Hoedjes 0.5060 [0.4782; 0.5337]
UM_Onder   0.4875 [0.4572; 0.5177]
KA_Colinet 0.4689 [0.4367; 0.5011]
KA_Hoedjes 0.4398 [0.4129; 0.4667]
KA_Onder   0.4663 [0.4368; 0.4959]
KA_Colinet 0.5109 [0.4787; 0.5431]
KA_Hoedjes 0.4528 [0.4259; 0.4797]
KA_Onder   0.4293 [0.3998; 0.4589]
KA_Colinet 0.5599 [0.5277; 0.5921]
KA_Hoedjes 0.4828 [0.4559; 0.5097]
KA_Onder   0.4893 [0.4598; 0.5189]
KA_Colinet 0.4139 [0.3817; 0.4461]
KA_Hoedjes 0.3958 [0.3689; 0.4227]
KA_Onder   0.4173 [0.3878; 0.4469]
KA_Colinet 0.4839 [0.4517; 0.5161]
KA_Hoedjes 0.4288 [0.4019; 0.4557]
KA_Onder   0.4393 [0.4098; 0.4689]
KA_Colinet 0.4749 [0.4427; 0.5071]
KA_Hoedjes 0.4588 [0.4319; 0.4857]
KA_Onder   0.4473 [0.4178; 0.4769]
KA_Colinet 0.4909 [0.4587; 0.5231]
KA_Hoedjes 0.4978 [0.4709; 0.5247]
KA_Onder   0.4483 [0.4188; 0.4779]
KA_Colinet 0.5249 [0.4927; 0.5571]
KA_Hoedjes 0.4328 [0.4059; 0.4597]
KA_Onder   0.4493 [0.4198; 0.4789]
KA_Colinet 0.5129 [0.4807; 0.5451]
KA_Hoedjes 0.4538 [0.4269; 0.4807]
KA_Onder   0.4913 [0.4618; 0.5209]
KA_Colinet 0.5209 [0.4887; 0.5531]
KA_Hoedjes 0.5008 [0.4753; 0.5263]
KA_Onder   0.4943 [0.4648; 0.5239]
KA_Colinet 0.4759 [0.4437; 0.5081]
KA_Hoedjes 0.4658 [0.4389; 0.4927]
KA_Onder   0.4433 [0.4138; 0.4729]
KA_Colinet 0.4939 [0.4617; 0.5261]
KA_Hoedjes 0.4288 [0.4019; 0.4557]
KA_Onder   0.4573 [0.4278; 0.4869]
KA_Colinet 0.4969 [0.4647; 0.5291]
KA_Hoedjes 0.4558 [0.4289; 0.4827]
KA_Onder   0.4903 [0.4608; 0.5199]
KA_Colinet 0.5109 [0.4787; 0.5431]
KA_Hoedjes 0.4788 [0.4519; 0.5057]
KA_Onder   0.4833 [0.4538; 0.5129]
KA_Colinet 0.4999 [0.4677; 0.5321]
KA_Hoedjes 0.5168 [0.4899; 0.5437]
KA_Onder   0.4923 [0.4628; 0.5219]
KA_Colinet 0.5409 [0.5087; 0.5731]
KA_Hoedjes 0.4668 [0.4399; 0.4937]
KA_Onder   0.4533 [0.4238; 0.4829]
KA_Colinet 0.4859 [0.4537; 0.5181]
KA_Hoedjes 0.4438 [0.4169; 0.4707]
KA_Onder   0.4323 [0.4028; 0.4619]
KA_Colinet 0.4809 [0.4487; 0.5131]
KA_Hoedjes 0.4108 [0.3839; 0.4377]
KA_Onder   0.4553 [0.4258; 0.4849]
KA_Colinet 0.4969 [0.4647; 0.5291]
KA_Hoedjes 0.4868 [0.4599; 0.5137]
KA_Onder   0.4753 [0.4458; 0.5049]
KA_Colinet 0.5339 [0.5017; 0.5661]
KA_Hoedjes 0.4758 [0.4489; 0.5027]
KA_Onder   0.4503 [0.4208; 0.4799]
VA_Colinet 0.4263 [0.3941; 0.4585]
VA_Hoedjes 0.4031 [0.3762; 0.4300]
VA_Onder   0.3923 [0.3628; 0.4218]
VA_Colinet 0.5803 [0.5481; 0.6125]
VA_Hoedjes 0.5371 [0.5102; 0.5640]
VA_Onder   0.5573 [0.5278; 0.5868]
VA_Colinet 0.5403 [0.5081; 0.5725]
VA_Hoedjes 0.5281 [0.5012; 0.5550]
VA_Onder   0.4833 [0.4538; 0.5128]
VA_Colinet 0.4723 [0.4401; 0.5045]
VA_Hoedjes 0.4841 [0.4572; 0.5110]
VA_Onder   0.4543 [0.4248; 0.4838]
VA_Colinet 0.5133 [0.4811; 0.5455]
VA_Hoedjes 0.4741 [0.4472; 0.5010]
VA_Onder   0.5033 [0.4738; 0.5328]
VA_Colinet 0.4193 [0.3871; 0.4515]
VA_Hoedjes 0.4071 [0.3802; 0.4340]
VA_Onder   0.4373 [0.4078; 0.4668]
VA_Colinet 0.5163 [0.4841; 0.5485]
VA_Hoedjes 0.5101 [0.4832; 0.5370]
VA_Onder   0.4763 [0.4468; 0.5058]
VA_Colinet 0.4933 [0.4611; 0.5255]
VA_Hoedjes 0.4561 [0.4292; 0.4830]
VA_Onder   0.4943 [0.4648; 0.5238]
VA_Colinet 0.4503 [0.4181; 0.4825]
VA_Hoedjes 0.4721 [0.4452; 0.4990]
VA_Onder   0.4403 [0.4108; 0.4698]
VA_Colinet 0.5073 [0.4751; 0.5395]
VA_Hoedjes 0.4611 [0.4342; 0.4880]
VA_Onder   0.5023 [0.4728; 0.5318]
VA_Colinet 0.5403 [0.5081; 0.5725]
VA_Hoedjes 0.5221 [0.4952; 0.5490]
VA_Onder   0.4763 [0.4468; 0.5058]
VA_Colinet 0.5363 [0.5041; 0.5685]
VA_Hoedjes 0.5401 [0.5132; 0.5670]
VA_Onder   0.5173 [0.4878; 0.5468]
VA_Colinet 0.4783 [0.4461; 0.5105]
VA_Hoedjes 0.4591 [0.4322; 0.4860]
VA_Onder   0.4563 [0.4268; 0.4858]
VA_Colinet 0.4623 [0.4301; 0.4945]
VA_Hoedjes 0.4231 [0.3962; 0.4500]
VA_Onder   0.4533 [0.4238; 0.4828]
VA_Colinet 0.5573 [0.5251; 0.5895]
VA_Hoedjes 0.4881 [0.4612; 0.5150]
VA_Onder   0.5233 [0.4938; 0.5528]
VA_Colinet 0.5183 [0.4861; 0.5505]
VA_Hoedjes 0.4481 [0.4212; 0.4750]
VA_Onder   0.4933 [0.4638; 0.5228]
VA_Colinet 0.4933 [0.4611; 0.5255]
VA_Hoedjes 0.4951 [0.4682; 0.5220]
VA_Onder   0.4713 [0.4418; 0.5008]
VA_Colinet 0.4753 [0.4431; 0.5075]
VA_Hoedjes 0.4691 [0.4422; 0.4960]
VA_Onder   0.4513 [0.4218; 0.4808]
VA_Colinet 0.5103 [0.4781; 0.5425]
VA_Hoedjes 0.4791 [0.4522; 0.5060]
VA_Onder   0.4543 [0.4248; 0.4838]
VA_Colinet 0.4543 [0.4221; 0.4865]
VA_Hoedjes 0.4061 [0.3792; 0.4330]
VA_Onder   0.4293 [0.4038; 0.4548]
AK_Colinet 0.5067 [0.4750; 0.5384]
AK_Hoedjes 0.4394 [0.4125; 0.4663]
AK_Onder   0.4464 [0.4168; 0.4759]
AK_Colinet 0.4727 [0.4410; 0.5044]
AK_Hoedjes 0.4484 [0.4215; 0.4753]
AK_Onder   0.4544 [0.4248; 0.4839]
AK_Colinet 0.4647 [0.4330; 0.4964]
AK_Hoedjes 0.4034 [0.3765; 0.4303]
AK_Onder   0.4114 [0.3818; 0.4409]
AK_Colinet 0.4467 [0.4150; 0.4784]
AK_Hoedjes 0.3774 [0.3505; 0.4043]
AK_Onder   0.3964 [0.3668; 0.4259]
AK_Colinet 0.4557 [0.4227; 0.4888]
AK_Hoedjes 0.4424 [0.4155; 0.4693]
AK_Onder   0.4164 [0.3868; 0.4459]
AK_Colinet 0.4377 [0.4047; 0.4708]
AK_Hoedjes 0.4304 [0.4035; 0.4573]
AK_Onder   0.4334 [0.4038; 0.4629]
AK_Colinet 0.4207 [0.3877; 0.4538]
AK_Hoedjes 0.3924 [0.3655; 0.4193]
AK_Onder   0.3804 [0.3508; 0.4099]
AK_Colinet 0.4817 [0.4487; 0.5148]
AK_Hoedjes 0.4724 [0.4455; 0.4993]
AK_Onder   0.4884 [0.4588; 0.5179]
AK_Colinet 0.4267 [0.3937; 0.4598]
AK_Hoedjes 0.4194 [0.3925; 0.4463]
AK_Onder   0.3974 [0.3678; 0.4269]
AK_Colinet 0.4897 [0.4567; 0.5228]
AK_Hoedjes 0.4734 [0.4465; 0.5003]
AK_Onder   0.4264 [0.3968; 0.4559]
AK_Colinet 0.5297 [0.4980; 0.5614]
AK_Hoedjes 0.4974 [0.4705; 0.5243]
AK_Onder   0.4654 [0.4358; 0.4949]
AK_Colinet 0.4007 [0.3677; 0.4338]
AK_Hoedjes 0.4164 [0.3895; 0.4433]
AK_Onder   0.4184 [0.3888; 0.4479]
AK_Colinet 0.4467 [0.4137; 0.4798]
AK_Hoedjes 0.4964 [0.4695; 0.5233]
AK_Onder   0.4404 [0.4108; 0.4699]
AK_Colinet 0.5017 [0.4700; 0.5334]
AK_Hoedjes 0.4514 [0.4245; 0.4783]
AK_Onder   0.3884 [0.3588; 0.4179]
AK_Colinet 0.4937 [0.4620; 0.5254]
AK_Hoedjes 0.4104 [0.3835; 0.4373]
AK_Onder   0.4294 [0.3998; 0.4589]
AK_Colinet 0.5127 [0.4810; 0.5444]
AK_Hoedjes 0.4894 [0.4625; 0.5163]
AK_Onder   0.4574 [0.4278; 0.4869]
AK_Colinet 0.4867 [0.4550; 0.5184]
AK_Hoedjes 0.4244 [0.3975; 0.4513]
AK_Onder   0.4374 [0.4078; 0.4669]
AK_Colinet 0.4747 [0.4430; 0.5064]
AK_Hoedjes 0.4284 [0.4015; 0.4553]
AK_Onder   0.4354 [0.4058; 0.4649]
AK_Colinet 0.4977 [0.4660; 0.5294]
AK_Hoedjes 0.4434 [0.4165; 0.4703]
AK_Onder   0.4284 [0.3988; 0.4579]
AK_Colinet 0.4277 [0.3960; 0.4594]
AK_Hoedjes 0.3914 [0.3645; 0.4183]
AK_Onder   0.3554 [0.3258; 0.3849]
           %W(random) Line
YE_Colinet        0.2 YE11
YE_Hoedjes        0.2 YE11
YE_Colinet        0.2 YE13
YE_Hoedjes        0.2 YE13
YE_Onder          0.2 YE13
YE_Colinet        0.2 YE14
YE_Hoedjes        0.2 YE14
YE_Colinet        0.2 YE15
YE_Hoedjes        0.2 YE15
YE_Onder          0.2 YE15
YE_Colinet        0.2 YE19
YE_Hoedjes        0.2 YE19
YE_Onder          0.2 YE19
YE_Colinet        0.2 YE20
YE_Hoedjes        0.2 YE20
YE_Onder          0.2 YE20
YE_Colinet        0.2 YE21
YE_Hoedjes        0.2 YE21
YE_Onder          0.2 YE21
YE_Colinet        0.2 YE22
YE_Hoedjes        0.2 YE22
YE_Onder          0.2 YE22
YE_Colinet        0.2 YE23
YE_Hoedjes        0.2 YE23
YE_Onder          0.2 YE23
YE_Colinet        0.2 YE24
YE_Hoedjes        0.2 YE24
YE_Onder          0.2 YE24
YE_Colinet        0.2 YE26
YE_Hoedjes        0.2 YE26
YE_Onder          0.2 YE26
YE_Colinet        0.2 YE27
YE_Hoedjes        0.2 YE27
YE_Onder          0.2 YE27
YE_Colinet        0.2 YE33
YE_Hoedjes        0.2 YE33
YE_Onder          0.2 YE33
YE_Colinet        0.2 YE40
YE_Hoedjes        0.2 YE40
YE_Onder          0.2 YE40
YE_Colinet        0.2 YE41
YE_Hoedjes        0.2 YE41
YE_Onder          0.2 YE41
YE_Colinet        0.2 YE48
YE_Hoedjes        0.2 YE48
YE_Onder          0.2 YE48
YE_Colinet        0.2 YE49
YE_Hoedjes        0.2 YE49
YE_Onder          0.2 YE49
YE_Colinet        0.2 YE51
